Mouse ID,Date,Weight,Baited Arms Retrieved,Reference Memory Errors,Working Memory Errors,Other Notes,Start Time,End Time,Video Length,File,FPS,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,bin,range(f),Distance,Center,ArmA,ArmB,ArmC,ArmD,ArmE,ArmF,ArmG,ArmH,avg_velocity,peak_velocity
85,7/1/2019,16,4,7,5,"Retrieved bait in arm A,C,F,D",7/1/2019 11:24,7/1/2019 11:27,0:02:47,2019_07_01_N85_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,50,1000,all,"(0, 4999)",7352.63682,0.0926,0.2154,0.0804,0.0982,0.1308,0.114,0.1696,0.0896,0.0102,0,0
86,7/1/2019,15,4,38,24,"Did not seem interested in bait at beginning.  Passed up multiple rewards.  Eventually retrieved bait from arm A,D,C,F",7/1/2019 11:55,7/1/2019 12:02,0:07:22,2019_07_01_N86_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,50,0,all,"(0, 13264)",25483.27161,0.169920844,0.114888805,0.096645307,0.149189597,0.101168489,0.088955899,0.08315115,0.093705239,0.105917829,0,0
91,7/1/2019,18,4,3,1,"Retrieved bait from arm F,A,C,D",7/1/2019 12:42,7/1/2019 12:48,0:05:35,2019_07_01_N91_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,50,0,all,"(0, 10062)",5682.118462,0.147967803,0.187618007,0,0.151445891,0.094107125,0.039948326,0.256782272,0.060916228,0.062506211,0,0
78,7/1/2019,21,4,14,13,"Retrieved bait in D,C,F,A",7/1/2019 10:31,7/1/2019 10:41,0:09:57,2019_07_01_N78_ACDF_EB1_Trial1.avi,30,99.5,TRUE,0.9,100,0,all,"(0, 17913)",15666.52901,0.097074913,0.034107402,0.056101373,0.041531763,0.516746679,0.084961483,0.085742994,0.028860109,0.058222619,0,0
82,7/1/2019,21,4,15,4,"Retrieved bait from arm D,F,H,B",7/1/2019 13:32,7/1/2019 13:37,0:05:40,2019_07_01_N82_BDFH_EB1_Trial1.avi,30,99.9,TRUE,0.9,100,0,all,"(0, 10214)",11103.16031,0.151052374,0.049926579,0.057072932,0.093294175,0.164072442,0.060499266,0.15134606,0.133333333,0.140773372,0,0
83,7/1/2019,21,4,9,15,"Retrieved bait from arm D,H,B,F",7/1/2019 13:50,7/1/2019 13:56,0:06:03,2019_07_01_N83_BDFH_EB1_Trial1.avi,30,99.9,TRUE,0.9,100,0,all,"(0, 10885)",13784.07536,0.161491824,0.016351277,0.098107661,0.086992467,0.129248576,0.081480801,0.107477494,0.080194746,0.23672607,0,0
81,7/1/2019,22,4,11,16,"Retrieved bait from arm F,H,D,B",7/1/2019 13:04,7/1/2019 13:11,0:07:16,2019_07_01_N81_BDFH_EB1_Trial1.avi,30,99.9,TRUE,0.9,100,0,all,"(0, 13075)",16127.31186,0.101866014,0.110813704,0.10232487,0.082670541,0.148363414,0.076934842,0.204190884,0.019118997,0.154940349,0,0
84,7/1/2019,21,3,20,12,"Retrieved bait from arm D,F,B",7/1/2019 14:03,7/1/2019 14:13,0:09:59,2019_07_01_N84_BDFH_EB1_Trial1.avi,30,99.9,TRUE,0.9,100,0,all,"(0, 17981)",20416.01096,0.155266377,0.070403737,0.135468802,0.079245913,0.139917695,0.095428762,0.204037371,0.088088088,0.032810588,0,0
79,7/1/2019,22,4,0,1,"Retrieved bait from D,F,A,C",7/1/2019 10:54,7/1/2019 10:55,0:01:37,2019_07_01_N79_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.9,100,0,all,"(0, 2922)",3141.399487,0.068422853,0.238453644,0,0.165925419,0.214505645,0,0.312692439,0,0,0,0
87,7/1/2019,16,0,47,38,"Spent several minutes exploring, not interested in food. Picked up bait but did not eat it. Did not retreive any bait.",7/1/2019 12:11,7/1/2019 12:21,0:09:53,2019_07_01_N87_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,50,0,all,"(0, 17783)",40222.86164,0.164867296,0.109367971,0.098403059,0.079678363,0.082433648,0.088675214,0.085526316,0.152159244,0.141081871,0,0
